,Vin,Iout,Efficiency
0,6.98280037,0.0987701,1.060266185728005
1,6.97669567,0.498428,0.9647518254083196
2,6.96919374,0.998611,0.9585239733623402
3,6.96159572,1.49879,0.9551413606020508
4,6.95384162,1.99899,0.9477647271209618
5,6.94594807,2.49918,0.9396413613667727
6,6.93788474,2.99838,0.9315587941532192
7,6.92956317,3.49832,0.9219526044814165
8,6.92107462,3.99875,0.9128313298543577
9,6.9123245,4.49893,0.9023853240059662
10,6.90329419,4.99911,0.8908816168460455
11,7.99010892,0.0987701,1.073102566525266
12,7.98475633,0.498428,0.956965090877951
13,7.97811411,0.998856,0.953744964882016
14,7.97146242,1.49879,0.952189607671525
15,7.96473443,1.99899,0.9437341233420702
16,7.9578191,2.49893,0.936776957036696
17,7.95077684,2.99838,0.9291060541848801
18,7.94356139,3.49832,0.9196308942831336
19,7.93619426,3.99875,0.9101488622282672
20,7.92860591,4.49893,0.900584812140104
21,7.92076157,4.99911,0.8890940029226418
22,8.9981087,0.0987701,1.097316986624089
23,8.99334551,0.498428,0.9565117867951956
24,8.98745953,0.998856,0.947378156510433
25,8.98158637,1.49879,0.9470525729057364
26,8.97558505,1.99899,0.9406162542228029
27,8.96948604,2.49893,0.9335580914526854
28,8.96324325,2.99838,0.9261832854104763
29,8.95692003,3.49832,0.9176190027768578
30,8.95041093,3.99875,0.9078248234802264
31,8.94373191,4.49893,0.8981729685607758
32,8.93681805,4.99911,0.8873554018931498
33,9.99708507,0.0987701,1.0864585613987712
34,9.9927805,0.498428,0.9559592930208987
35,9.98746191,0.998611,0.9452944407377918
36,9.98213253,1.49879,0.9431976222715229
37,9.97672299,1.99899,0.9377328948069608
38,9.97122943,2.49893,0.9308094931584341
39,9.96560867,2.99838,0.9241341564993965
40,9.95992352,3.49832,0.914878440513131
41,9.95404291,3.99875,0.9053996150461261
42,9.94803188,4.49893,0.8956919108342735
43,9.94184585,4.99911,0.8850144457796846
44,11.0033963,0.0987701,1.0967743622266206
45,10.9994569,0.498428,0.9514239447249956
46,10.9945508,0.998856,0.945786878511867
47,10.9897097,1.49879,0.9391633860333237
48,10.9848014,1.99899,0.9355427392763795
49,10.9797933,2.49893,0.9282103416089166
50,10.9746907,2.99838,0.9209862269740322
51,10.9694825,3.49832,0.9125240738472126
52,10.9641288,3.99875,0.9033302480749577
53,10.9586566,4.49893,0.892966576314377
54,10.9530216,4.99911,0.8818994868443839
55,11.9913232,0.0987701,1.132240469394153
56,11.9877082,0.498428,0.9585910526798894
57,11.9832188,0.998856,0.9422818323443636
58,11.9787147,1.49879,0.9360968123861086
59,11.9741829,1.99899,0.9326550049260001
60,11.9695744,2.49918,0.9263086778244481
61,11.9648756,2.99838,0.9183845424488348
62,11.960091,3.49832,0.9091634944918061
63,11.9550641,3.99875,0.9006541373722016
64,11.9500406,4.49893,0.8904928295679142
65,11.9448884,4.99911,0.879848305907339
66,12.996341,0.0987701,1.0901043937206099
67,12.992884,0.498428,0.951125741881803
68,12.9887309,0.998856,0.9369309189912208
69,12.9844977,1.49879,0.9336714312389482
70,12.9803149,1.99899,0.9281968606651445
71,12.9760487,2.49918,0.9230533664928673
72,12.9717056,2.99838,0.9145081969791236
73,12.9673186,3.49832,0.9073638689850446
74,12.9627024,3.99875,0.8978181317781312
75,12.9580783,4.49893,0.8879816367076093
76,12.9533036,4.99911,0.8767710594699876
77,13.9975276,0.0987701,1.163953674958283
78,13.9943435,0.498428,0.9473040685469489
79,13.9903985,0.998611,0.9354653609779514
80,13.9865173,1.49879,0.930862809132795
81,13.9826199,1.99899,0.9262245160790831
82,13.9786439,2.49893,0.9213349358774241
83,13.9745964,2.99838,0.912757168641289
84,13.9704863,3.49832,0.9044078551787847
85,13.9662179,3.99875,0.8945502848738786
86,13.9619318,4.49893,0.8843044934420623
87,13.9574291,4.99911,0.8738392567173345
88,14.9989643,0.0987701,1.1433861747233758
89,14.9960445,0.498672,0.9621103426026074
90,14.9923586,0.998856,0.9366157940875705
91,14.9887437,1.49879,0.9300496285788221
92,14.9850784,1.99899,0.9244332593137972
93,14.9814139,2.49918,0.9174019209957505
94,14.9775957,2.99838,0.910704589932233
95,14.9737145,3.49832,0.9004172907183705
96,14.9697043,3.99899,0.8916164162581527
97,14.9657464,4.49893,0.8812093400971818
98,14.9615649,4.99911,0.8697260328552349
99,15.9962132,0.0987701,1.1316656143898414
100,15.9934755,0.498672,0.9435324871506039
101,15.9899872,0.998856,0.9341290163020382
102,15.9865604,1.49879,0.9270489756741853
103,15.9831332,1.99899,0.9211128493064571
104,15.9796401,2.49918,0.9153130245350358
105,15.976131,2.99838,0.9066437465421857
106,15.9724874,3.49832,0.8969045231474011
107,15.9687754,3.99899,0.8884127722308909
108,15.964946,4.49893,0.8780276612804307
109,15.9609705,4.99936,0.8671246720723675
110,16.993886,0.0987701,1.1278338459456052
111,16.9912723,0.498672,0.9490971449051109
112,16.9880474,0.998856,0.9299741147142351
113,16.9848216,1.49879,0.9225177462185817
114,16.9815403,1.99899,0.9184553364690953
115,16.9782648,2.49918,0.9119327334563122
116,16.9749037,2.99838,0.9039530001920546
117,16.9713823,3.49857,0.8945304319856756
118,16.9678988,3.99899,0.8840491168886692
119,16.9642628,4.49893,0.874541580924656
120,16.9605328,4.99936,0.8628199531830566
