,Vin,Vout
0,0.0,7.76387805e-05
1,0.5,5.72410337e-05
2,1.0,6.17368833e-05
3,1.5,0.00711791728
4,2.0,0.287014303
5,2.5,0.696669248
6,3.0,1.14103099
7,3.5,1.60128025
8,4.0,2.07092113
9,4.5,2.54641542
10,5.0,3.0274384
11,5.5,3.50959545
12,6.0,3.99375221
13,6.5,4.41265969
14,7.0,4.49119224
15,7.5,4.56237382
16,8.0,4.62790765
17,8.5,4.68861892
18,9.0,4.74535226
19,9.5,4.79819758
20,10.0,4.84775732
21,10.5,4.89467167
22,11.0,4.93869433
23,11.5,4.9804474
24,12.0,5.02015086
25,12.5,5.05833041
26,13.0,5.0945711
27,13.5,5.12915374
28,14.0,5.16174449
29,14.5,5.19356296
30,15.0,5.2235372
31,15.5,5.25263959
32,16.0,5.28137145
33,16.5,5.30874404
34,17.0,5.33503564
35,17.5,5.36044042
36,18.0,5.38508904
37,18.5,5.40883584
38,19.0,5.43212863
39,19.5,5.45376152
40,20.0,5.47478531
41,20.5,5.49546739
42,21.0,5.51588871
43,21.5,5.53544915
44,22.0,5.55385091
45,22.5,5.57206285
46,23.0,5.59026371
47,23.5,5.608003
48,24.0,5.62523306
49,24.5,5.64184208
50,25.0,5.65763353
51,25.5,5.67338725
52,26.0,5.68814217
53,26.5,5.70353244
54,27.0,5.71680861
55,27.5,5.72935591
56,28.0,5.74195274
57,28.5,5.7545523
58,29.0,5.76713192
59,29.5,5.77927215
60,30.0,5.79226397
